'Elapsed time','BP'
'0:10.000',132.53
'0:10.010',138.35
'0:10.020',155.6
'0:10.030',160.75
'0:10.040',159.66
'0:10.050',156.06
'0:10.060',152.78
'0:10.070',147.52
'0:10.080',145.53
'0:10.090',143.67
'0:10.100',142.5
'0:10.110',140.94
'0:10.120',139.25
'0:10.130',137.61
'0:10.140',136.3
'0:10.150',135.05
'0:10.160',133.95
'0:10.170',133.49
'0:10.180',142.53
'0:10.190',157.92
'0:10.200',161.95
'0:10.210',160.32
'0:10.220',157.01
'0:10.230',153.53
'0:10.240',148.02
'0:10.250',145.61
'0:10.260',143.64
'0:10.270',142.11
'0:10.280',140.63
'0:10.290',139.11
'0:10.300',137.35
'0:10.310',136.06
'0:10.320',134.74
'0:10.330',133.68
'0:10.340',133.07
'0:10.350',144.07
'0:10.360',157.65
'0:10.370',160.52
'0:10.380',158.37
'0:10.390',155.04
'0:10.400',151.33
'0:10.410',146.86
'0:10.420',145.1
'0:10.430',143.46
'0:10.440',142.27
'0:10.450',140.82
'0:10.460',139.25
'0:10.470',137.73
'0:10.480',136.41
'0:10.490',135.19
'0:10.500',134.06
'0:10.510',133.74
'0:10.520',148.55
'0:10.530',159.05
'0:10.540',160.55
'0:10.550',157.68
'0:10.560',153.99
'0:10.570',148.89
'0:10.580',145.94
'0:10.590',144.34
'0:10.600',142.94
'0:10.610',141.56
'0:10.620',139.82
'0:10.630',138.19
'0:10.640',136.71
'0:10.650',135.61
'0:10.660',134.47
'0:10.670',133.51
'0:10.680',133.37
'0:10.690',150.35
'0:10.700',160.32
'0:10.710',161.63
'0:10.720',158.87
'0:10.730',155.65
'0:10.740',150.81
'0:10.750',147.35
'0:10.760',145.43
'0:10.770',143.95
'0:10.780',142.53
'0:10.790',140.86
'0:10.800',139.14
'0:10.810',137.67
'0:10.820',136.44
'0:10.830',135.25
'0:10.840',134.33
'0:10.850',134.3
'0:10.860',151.25
'0:10.870',160.81
'0:10.880',161.83
'0:10.890',158.95
'0:10.900',155.59
'0:10.910',150.4
'0:10.920',147.24
'0:10.930',145.15
'0:10.940',143.49
'0:10.950',141.79
'0:10.960',140.08
'0:10.970',138.38
